Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,repo,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,source_file,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
,,,,,,1,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,United States,OWASP/www-chapter-southern-maryland,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Southern Maryland,,,,
,,,,,,1,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,United States,OWASP/www-chapter-uw-bothell,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Uw Bothell,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Chandler Johnson, Jeff Atkinson, Matt Perrotti",,,,,,,,,,,,,,,,,,North America,OWASP/www-chapter-knoxville,,,,,,,,"index.md, info.md, leaders.md",,,,,Knoxville,OWASP Knoxville,,,,
,,,,,,1,,,USA,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Little-Rock-Chapter,,,,72201,,,,,,United States,OWASP/www-chapter-little-rock,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Little Rock,,,,
,,,,True,,,,,USA,usd,,,,,,col-sidebar,,"Marc Sanchez, James Smith",3,,,,,,,OWASP-Colorado-Springs-Meetup,,,,80831,,,,,,North America,OWASP/www-chapter-colorado-springs,,True,,https://www.linkedin.com/groups/14141110/,https://www.meetup.com/OWASP-Colorado-Springs-Meetup/,https://twitter.com/owaspcos/,,"index.md, info.md, leaders.md",,,,,colorado-springs,OWASP Colorado Springs,,,,
,,,,,,0,,,Australia,,,,,,,col-sidebar,,"Wade Alcorn, Glyn Geoghegan",0,,,,,,,Brisbane-OWASP-Meetup-Group,,,,,,,,,,Oceania,OWASP/www-chapter-brisbane,,,,,https://www.meetup.com/Brisbane-OWASP-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,,OWASP Brisbane,,,,
,,,,,,,,,Australia,,,,,,,col-sidebar,,"Daniel Ting, Gyle dela Cruz",0,,,,,,,Application-Security-OWASP-Melbourne,,,,,,,,,,Oceania,OWASP/www-chapter-melbourne,,,,,,,,"index.md, info.md, leaders.md",,,,,Melbourne Australia AppSecDay,OWASP Melbourne,,,,
,,,,,,,,"https://github.com/OWASP/www-chapter-new-zealand, https://github.com/OWASP/www-chapter-new-zealand/tree/master/assets/slides",New Zealand,nzd,,,,,,col-sidebar,,"Austin Chamberlain, Kim Carter, Pete Nicholls, John DiLeo, Matt Cotterell, Kirk Jackson",,,,,,,,,,,,,,,,,,Oceania,OWASP/www-chapter-new-zealand,,,https://www.facebook.com/owaspnz,https://www.linkedin.com/company/owasp-new-zealand,,https://twitter.com/owaspnz,,"index.md, info.md, leaders.md",,,,,owaspnz,OWASP New Zealand,,,,
,,,,,,,,,Australia,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Perth,,,,,,,,,,Oceania,OWASP/www-chapter-perth,,,,,,,,"index.md, info.md, leaders.md",,,,,owasp-perth,OWASP Perth,,,,
,,,,,,,,,Australia,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Sydney-Chapter,,,,,,,,,,Oceania,OWASP/www-chapter-sydney,,,https://www.facebook.com/OWASP-Sydney-Chapter-102460191566968,https://www.linkedin.com/groups/13888555/,https://www.meetup.com/OWASP-Sydney-Chapter/,,https://www.youtube.com/channel/UCKx3H-oNkly9cwKRpFziCag?view_as=subscriber,"index.md, info.md, leaders.md",,,,,sydney,OWASP Sydney,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Sunny Singh, Ravi Singh",3,,,,,,,owasp-varanasi,,,,,,,,,,Asia,OWASP/www-chapter-varanasi,,True,,,,,,"index.md, info.md, leaders.md",,,,,owasp-varanasi,OWASP Varanasi,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,,,,,,,,,OWASP-Inland-Empire-Open-Web-Application-Security-Project,,,,91711,,,,,,North America,OWASP/www-chapter-inland-empire,,,,,https://www.meetup.com/OWASP-Inland-Empire-Open-Web-Application-Security-Project/,,,"index.md, info.md, leaders.md",,,,,Inland Empire,OWASP Inland Empire,,,,
,,,,,,1,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,United States,OWASP/www-chapter-albany,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Albany,,,,
,,,,,,1,,,USA,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Richmond-Chapter-Meetup,,,,23218,,,,,,United States,OWASP/www-chapter-richmond,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Richmond,,,,
,,,,True,,,,,USA,,,,,,,col-sidebar,,"Kyle Smith, Tiana Chandler, Ryan Murphy, Tiana Chandler, Kyle Smith, Josh Sokol",,,,,,,,OWASP-Austin-Chapter,,,,78759,,,,,,North America,OWASP/www-chapter-austin,,,https://www.facebook.com/groups/30315569742,https://www.linkedin.com/groups/1250897/,https://www.meetup.com/OWASP-Austin-Chapter/,https://twitter.com/lasconatx,https://www.youtube.com/channel/UCcy07dTHKSe1zbB1c36qC1Q/,"index.md, info.md, leaders.md",,Texas,,,austin,OWASP Austin,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Prashant KV, Brendan Higgins, Wendy Segura",,,,,,,,Bay-Area-OWASP,,,,94105,,,,,,North America,OWASP/www-chapter-bay-area,,,,,https://www.meetup.com/Bay-Area-OWASP/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Bay Area,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Jainam Basra, Rajmi Doshi",,,,,,,,,,,,,,,,,,North America,OWASP/www-chapter-baltimore,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Baltimore,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Tony UV, Guled Abdilahi, Ayliffe Brown, Thomas Breland",0,,,,,,,OWASP-Atlanta,,,,,,,,,,North America,OWASP/www-chapter-atlanta,,,,,https://www.meetup.com/OWASP-Atlanta/,https://twitter.com/owaspatl,,"index.md, info.md, leaders.md",,,,,ATL,OWASP Atlanta,,,,
,,,,True,,,,,USA,,,,,,,col-sidebar,,"Tom Conner, Jeremiah Salamon, Nivedita Murthy",3,,,,,,,owaspboston,,,,1102,,,,,,North America,OWASP/www-chapter-boston,,True,,https://www.linkedin.com/company/owasp-boston/,https://www.meetup.com/owaspboston,https://twitter.com/owaspboston,,"index.md, info.md, leaders.md",,,,,Boston,OWASP Boston,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,,4,,,,,,,,,,,,,,Flagship,,,United States,OWASP/www-chapter-birmingham-al,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Birmingham AL,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Josh Jenkins, Owen Henty",0,,,,,,,owaspCLT,,,,28202,,,,,,North America,OWASP/www-chapter-charlotte,,,,,https://www.meetup.com/owaspCLT/,https://twitter.com/OWASPCharlotte,https://www.youtube.com/channel/UC8gUuxBL8u6PDiHFdZIgnqg,"index.md, info.md, leaders.md",,,,,,OWASP Charlotte,,,,
,,,,True,,,,https://github.com/OWASP/www-chapter-boulder,USA,,,,,,,col-sidebar,,"Alex Brown, Lilli Chang, Aaron Cure, Chris Williams",3,,,,,,,OWASP-Boulder,,,,80302,,,,,,North America,OWASP/www-chapter-boulder,,True,,,https://www.meetup.com/OWASP-Boulder/,,,"index.md, info.md, leaders.md",,,,,Boulder,OWASP Boulder,,,,
,,,,,,,,https://github.com/OWASP/www-chapter-cincinnati,USA,,,,,,,col-sidebar,,"Shlomo Heigh, James Simmons",3,,,,,,owasp-cincinnati-meetup-group,owasp-cincinnati-meetup-group,,,,,,,,,,North America,OWASP/www-chapter-cincinnati,,True,,,https://www.meetup.com/owasp-cincinnati-meetup-group/,,,"index.md, info.md, leaders.md",,,,,cincinnati,OWASP Cincinnati,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"John Crynick, Eden Yardeni, Charles Bickel",0,,,,,,,owasp-cleveland-group,,,,44106,,,,,,North America,OWASP/www-chapter-cleveland,,,,,https://www.meetup.com/owasp-cleveland-group/,,,"index.md, info.md, leaders.md",,,,,,OWASP Cleveland,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Bill Sempf, Connie Matthews, David Hunt",0,,,,,,,Columbus-OWASP,,,,43201,,,,,,North America,OWASP/www-chapter-columbus,,,,,,,,"index.md, leaders.md",,,,,,OWASP Columbus,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Anatoly Bodner - Email, Matt Speakman - Email, Anatoly Bodner - LinkedIn, Matt Speakman - LinkedIn",0,,,,,,,OWASP-Chicago-Chapter,,,,60062,,,,,,North America,OWASP/www-chapter-chicago,,,,https://www.linkedin.com/groups/4049846/,,,,"index.md, info.md, leaders.md",,,,,,OWASP Chicago,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,,0,,,,,,,Dallas-The-Open-Web-Application-Security-Project-Meetup,,,,75201,,,,,,North America,OWASP/www-chapter-dallas,,,,,https://www.meetup.com/Dallas-The-Open-Web-Application-Security-Project-Meetup/,,,"index.md, info.md, leaders.md",,,,,Dallas Fort Worth,OWASP Dallas,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"David Rhoades, Gionne Cannister, Eric Truitte",,,,,,,,OWASP-Delaware-Chapter,,,,19720,,,,,,North America,OWASP/www-chapter-delaware,,,,,,https://twitter.com/owaspde,,"index.md, info.md, leaders.md",,,,,delaware,OWASP Delaware,,,,
,,,,,,1,,,USA,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Detroit-Chapter,,,,48201,,,,,,United States,OWASP/www-chapter-detroit,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Detroit,,,,
,,,,True,,,,https://github.com/OWASP/www-chapter-denver,USA,,,,,,,col-sidebar,,"Frank Victory, Serge Borso, John Kittleson",3,,,,,,,Denver-OWASP,,,,80208,,,,,,North America,OWASP/www-chapter-denver,,True,,,https://www.meetup.com/Denver-OWASP/,,,"index.md, info.md, leaders.md",,,,,Denver,OWASP Denver,,,,
,,,,,,0,,,USA,,,,,,,col-sidebar,,,0,,,,,,,CT-Cyber-Security-Meetup-OWASP-Hartford,,,,06183,,,,,,North America,OWASP/www-chapter-hartford,,,,,https://www.meetup.com/CT-Cyber-Security-Meetup-OWASP-Hartford/,,,"index.md, info.md, leaders.md",,,,,owasp hartford ct,"OWASP Hartford, CT",,,,
,,,,,,,,"https://github.com/OWASP/www-chapter-hawaii, https://github.com/OWASP/www-chapter-hawaii/tree/master/assets/slides",USA,,,,,,,col-sidebar,,,,,,,,,,OWASP-Hawaii,,,,96816,,,,,,North America,OWASP/www-chapter-hawaii,,,https://facebook.com/owasphawaii,,https://www.meetup.com/OWASP-Hawaii/,https://twitter.com/owasphawaii,,"index.md, info.md, leaders.md",,,,,,OWASP Hawaii,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Joseph Konieczka, Ramalo Singh, Jacob Lawther",,,,,,,,owasp-houston-texas-chapter,,,,,,,,,,North America,OWASP/www-chapter-houston,,,,,https://www.meetup.com/owasp-houston-texas-chapter/,,https://www.youtube.com/@OWASPHouston-pk9vj,"index.md, info.md, leaders.md",,,,,houston,OWASP Houston,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Carl Sampson, Todd Grotenhuis, Damian Profancik, Justin Baxtron",,,,,,,,indyowasp,1,,,46240,,,,,,North America,OWASP/www-chapter-indianapolis,,,,,,,,"index.md, info.md, leaders.md",,,,,indianapolis,OWASP Indianapolis,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Joshua Williams, Mat Caughron, Joe Nicastro",0,,,,,,,OWASP-Kansas-City,,,,,,,,,,North America,OWASP/www-chapter-kansas-city,,,,https://www.linkedin.com/company/owaspkc,https://meetup.com/OWASP-Kansas-City,,,"index.md, info.md, leaders.md",,,,,web-application-security kansas-city missouri,OWASP Kansas City,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Logan Therrien, Mark King, Francois Fried",,,,,,,,OWASP-Jacksonville-Chapter,,,,32257,,,,,,North America,OWASP/www-chapter-jacksonville,,,,https://www.linkedin.com/groups/10086127,https://www.meetup.com/OWASP-Jacksonville-Chapter/,,,"index.md, info.md, leaders.md",,,,,,OWASP Jacksonville,,,,
,,,,True,,,,,USA,,,,,,,col-sidebar,,,4,,,,,,,owaspli,,,,11735,,,,,,North America,OWASP/www-chapter-long-island,,,,,https://www.meetup.com/owaspli/,,,"index.md, info.md, leaders.md",,,,,chapter long-island long island ny new york,"OWASP Long Island, NY",chapter,,,
,,,,,"Breaker, Builder",,,,USA,,,,#,,,col-sidebar,,,4,,,,,,,meetup-group-iOVgsIcE,,,,40201,,,Flagship,,,,OWASP/www-chapter-louisville,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Louisville,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Josh Summitt, Kellee Studdard",3,,,,,,,,,,,38111,,,,,,North America,OWASP/www-chapter-memphis,,True,,,,,,"index.md, info.md, leaders.md",,,,,memphis,OWASP Memphis,,,,
,,,,,,0,,,USA,,,,,,,col-sidebar,,"Lance Rudolph, Drew Thompson, Ryan Zagrodnik",0,,,,,,,owasp-madison,,,,,,,,,,North America,OWASP/www-chapter-madison,,,,,,,,"index.md, info.md, leaders.md",,,,,madison,OWASP Madison,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,owasp-maine,,,,,,,,,,North America,OWASP/www-chapter-maine,,,,,https://www.meetup.com/owasp-maine/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Maine,,,,
,,,,,,0,,,USA,,,,,,,col-sidebar,,"Nathan Larson, Kiran Sharma, Zoa Buske, Ash Vogl",,,,,,,,OWASP-MSP-Meetup,,,,55101,,,,,,North America,OWASP/www-chapter-minneapolis-st-paul,,,,,https://www.meetup.com/OWASP-MSP-Meetup,,,"index.md, info.md, leaders.md",,,,,MSP,OWASP Minneapolis/St. Paul,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Los-Angeles,,,,,,,,,,North America,OWASP/www-chapter-los-angeles,,,,https://www.linkedin.com/company/owaspla,,https://twitter.com/owaspla,https://www.youtube.com/OWASPLosAngeles,"index.md, info.md, leaders.md",,,,,Events-tag,OWASP Los Angeles,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Matt Bosack, Bogdan Niemoczynski",3,,,,,,,OWASP-Philadelphia-Chapter,,,,19019,,,,,,North America,OWASP/www-chapter-philadelphia,,,,,,,,"index.md, info.md, leaders.md",,,,,philadelphia,OWASP Philadelphia,,,,
,,,,,,1,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,United States,OWASP/www-chapter-new-jersey-north,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP New Jersey North,,,,
,,,,,,,,,USA,usd,,,,,,col-sidebar,,"Jeremy Young, Linda Fay, Joseph Shelby",3,,,,,,,OWASP-Nashville-Chapter,,,,37201,,,,,,North America,OWASP/www-chapter-nashville,,True,,,https://www.meetup.com/owasp-nashville-chapter/,,https://youtube.com/@owaspnashville8927,"index.md, info.md, leaders.md",,,,,nashville,OWASP Nashville,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Guy Osa, Zoe Braiterman",0,,,,,,,OWASP-New-York-City-Chapter,,,,,,,,,,North America,OWASP/www-chapter-new-york-city,,,,,https://www.meetup.com/OWASP-New-York-City-Chapter/,https://twitter.com/owaspnyc,https://www.youtube.com/channel/UCJFpQjVjqFd097y9eKgatTA,"index.md, info.md, leaders.md",,New York,,,NYC,OWASP New York City,,,,
,,,,,,,,,USA,usd,,,,,,col-sidebar,,,0,,,,,,,owaspomaha-meetup-group,,,,68130,,,,,,North America,OWASP/www-chapter-omaha,,,,,,,,"index.md, info.md, leaders.md",,,,,about events meetings donate,OWASP Omaha,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Craig Hai, Adolfo Alarcon, John Vasquez, Nikita Gupta",0,,,,,,,OWASP-OC,,,,92618,,,,,,North America,OWASP/www-chapter-orange-county,,,,https://www.linkedin.com/company/owasp-orange-county/,https://www.meetup.com/OWASP-OC/,https://twitter.com//OWASPOC,,"index.md, info.md, leaders.md",,,,,chapter,OWASP Orange County,,,,
,,,,True,,,,,USA,usd,,,,,,col-sidebar,,"Tony Turner, Lee Mangold",3,,,,,,,OWASP-Orlando,,,,32801,,,,,,North America,OWASP/www-chapter-orlando,,True,,https://www.linkedin.com/groups/4041380/,https://www.meetup.com/OWASP-Orlando/,https://twitter.com/OwaspOrlando,,"index.md, info.md, leaders.md",,,,,chapter-orlando,OWASP Orlando,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Kevin Cody, Joshua Waibel, Ryan Giobbi",0,,,,,,,OWASP-Pittsburgh-Chapter,,,,15222,,,,,,North America,OWASP/www-chapter-pittsburgh,,,,,https://www.meetup.com/OWASP-Pittsburgh-Chapter/,,,"index.md, info.md, leaders.md",,,,,PGH,OWASP Pittsburgh,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Kendra Ash, Benny Zhao",0,,,,,,,OWASP-Portland-Chapter,,,,97201,,,,,,North America,OWASP/www-chapter-portland,,,,,https://www.meetup.com/OWASP-Portland-Chapter/,https://twitter.com/PortlandOWASP,https://www.youtube.com/channel/UCYDkARIRTaeiP-o19tSWZfw,"index.md, info.md, leaders.md",,,,,"community, mentorship, governance, study, training, meetings, videos, podcasts, committees, sponsors, participation",OWASP Portland,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Bil Corry, Hayden Corry, Maria Brown",0,,,,,,,OWASP-Phoenix-Chapter,,,,,,,,,,North America,OWASP/www-chapter-phoenix,,,,,,,,"index.md, info.md, leaders.md",,,,,,OWASP Phoenix,,,,
,,,,,,,,https://github.com/OWASP/www-chapter-triangle-nc,USA,,,,,,,col-sidebar,,"Steve Pinkham, Sean Varga, Navneet Keshav",,,,,,,,owasptriangle,,,,27560,,,,,,North America,OWASP/www-chapter-triangle-nc,,,,,https://www.meetup.com/owasptriangle,,,"index.md, info.md, leaders.md",,,,,triangle-nc,OWASP Triangle-NC,,,,
,,,,,,1,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,United States,OWASP/www-chapter-rhode-island,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Rhode Island,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Nielet Dmello, Larkins Carvalho",0,,,,,,,OWASP-Sacramento-Chapter,,,,94203,,,,,,North America,OWASP/www-chapter-sacramento,,,,,https://www.meetup.com/OWASP-Sacramento-Chapter/,https://twitter.com/OWASPSacramento,,"index.md, info.md, leaders.md",,,,,past-tag,OWASP Sacramento,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,,,,,,,,,OWASP-Rochester-Chapter,,,,14602,,,,,,North America,OWASP/www-chapter-rochester,,,,,https://www.meetup.com/OWASP-Rochester-Chapter/,https://twitter.com/OwaspRochester,,"index.md, info.md, leaders.md",,,,,Rochester,OWASP Rochester,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Andre Van Klaveren, Nathan Byrd",0,,,,,,,owasp-saint-louis-chapter,,,,63101,,,,,,North America,OWASP/www-chapter-saint-louis,,,https://www.facebook.com/OWASPSaintLouis,,https://www.meetup.com/owasp-saint-louis-chapter/,,,"index.md, info.md, leaders.md",,,,,web-application-security stl saint-louis st-louis missouri,OWASP Saint Louis,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Tom Spencer, Christian Dehoyos, George Callow, Nikolas Behar",0,,,,,,,Open-Web-Application-Security-Project-San-Diego-OWASP-SD,,,,,,,,,,North America,OWASP/www-chapter-san-diego,,,,,https://www.meetup.com/Open-Web-Application-Security-Project-San-Diego-OWASP-SD/,,,"index.md, info.md, leaders.md",,,,,SD,OWASP San Diego,,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Seth Law, Steve Christiaens, Jason Wood, Doug Hubbard, Cameron White",0,,,,,,,owasp-slc,,,,84101,,,,,,North America,OWASP/www-chapter-salt-lake-city,,,,,https://www.meetup.com/owasp-slc/,,,"index.md, info.md, leaders.md",,,,,owasp-slc wasatch-appsec,OWASP Salt Lake City,,,,
,,,,,,,,"https://github.com/OWASP/www-chapter-san-antonio, https://github.com/OWASP/www-chapter-san-antonio/tree/master/assets/slides",USA,,,,,,,col-sidebar,,"Brent Daugherty, Can Vo, Joseph Gregorio, Rodney Fielding, Ayesha Sohina, Xavier Jimenez",0,,,,,,,owasp-sanantonio,,,,78258,,,,,,North America,OWASP/www-chapter-san-antonio,,True,,,https://www.meetup.com/meetup-group-cubhvbpi/,https://twitter.com/owaspsanantonio,,"index.md, info.md, leaders.md",,,,,sanantonio,OWASP San Antonio,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-surat,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Surat,,,,
,,,,True,,,,,United Arab Emirates,,,,,,,col-sidebar,,,0,,,,,,,owasp-abu-dhabi,,,,,,,,,,Asia,OWASP/www-chapter-abu-dhabi,,True,,,https://www.meetup.com/owasp-abu-dhabi/,https://twitter.com/OWASPAbuDhabi,,"index.md, info.md, leaders.md",,,,,abu-dhabi,OWASP Abu Dhabi,,,,
,,,,,,,,,Israel,,,,,,,col-sidebar,,"Shira Shamban, Ori Troyna, Josh Grossman, Avi Douglen",0,,,,,,,OWASP-Israel,,,,,,,,,,Europe,OWASP/www-chapter-israel,,,https://www.facebook.com/groups/owasp.il/,,,,,"index.md, info.md, leaders.md",,,,,Israel,OWASP Israel,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,Vandana Verma,0,,,,,,,owasp-bangalore-chapter,,,,,,,,,,Asia,OWASP/www-chapter-bangalore,,,https://www.facebook.com/OWASPBangalore/,,https://www.meetup.com/owasp-bangalore-chapter/,https://twitter.com/OWASPBangalore,,"index.md, info.md, leaders.md",,,,,blr,OWASP Bangalore,,,,
,,,,,,,,,Bangladesh,,,,,,,col-sidebar,,"Md Jahangir Alam, Fahima Khanam, S M Mizanur Rahman",0,,,,,,,OWASP-Dhaka-Chapter,,,,,,,,,,Asia,OWASP/www-chapter-dhaka,,,,https://www.linkedin.com/groups/10475741/,https://www.meetup.com/OWASP-Dhaka-Chapter/,,,"index.md, info.md, leaders.md",,,,,dhk,OWASP Dhaka,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Delhi-NCR-Chapter,,,,,,,,,,Asia,OWASP/www-chapter-delhi,,,,,https://www.meetup.com/OWASP-Delhi-NCR-Chapter/,https://twitter.com/OWASPdelhi,,"index.md, info.md, leaders.md",,,,,del,OWASP Delhi,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Venkatraman Kumar, Karthikeyan Krishnamoorthy, Vignesh Chandrasekaran",6,,,,,,,Chennai-OWASP-Meetup-Group,,,,,,,,,,Asia,OWASP/www-chapter-chennai,,,,https://www.linkedin.com/company/owasp-chennai-chapter,https://www.meetup.com/Chennai-OWASP-Meetup-Group/,https://twitter.com/owasp_chennai,,"index.md, info.md, leaders.md",,,,,Chennai OWASP Chapter India,OWASP Chennai,,,,
,,,,,,1,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,Middle East,OWASP/www-chapter-iran,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Iran,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Saksham Sharma, Siddhant Tiwari, Atharva Barge",0,,,,,,,owasp-chandigarh-chapter,,,,,,,,,,Asia,OWASP/www-chapter-chandigarh,,,,,,,,"index.md, info.md, leaders.md",,,,,Mum,OWASP Chandigarh,,,,
,,,,,,,,,India,INR,,,,,,col-sidebar,,"Raj Shalem, Sai Krishna, Rajesh Gopal",,,,,,,,hyderabad-owasp-meetup-group,,,,,,,,,,Asia,OWASP/www-chapter-hyderabad,,True,https://www.facebook.com/OWASPHyderabad,,https://www.meetup.com/hyderabad-owasp-meetup-group/,https://twitter.com/OWASPHyderabad,,"index.md, info.md, leaders.md",,,,,Hyderabad,OWASP Hyderabad,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,0,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-islamabad,,,,https://www.linkedin.com/company/owaspislamabad,https://www.meetup.com/owasp-islamabad/,https://twitter.com/owaspislamabad,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Islamabad,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Rejah Rehim, Adarsh Nair",4,,,,,,,OWASP-Kerala-Chapter,,,,695581,,,,,,Asia,OWASP/www-chapter-kerala,,,https://www.facebook.com/OWASPKerala,https://www.linkedin.com/groups/6753561/,https://www.meetup.com/OWASP-Kerala-Chapter/,https://twitter.com/OWASP_Kerala,https://www.youtube.com/channel/UCKz8vonTKMvyuco9e6kJ-NA,"index.md, info.md, leaders.md",,,,,kerala chapter india,OWASP Kerala,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Anant Kumar Joshi, Yash Roongta",0,,,,,,,owasp-mumbai-chapter,,,,,,,,,,Asia,OWASP/www-chapter-mumbai,,,,,https://www.meetup.com/OWASP-Mumbai-Chapter/,https://twitter.com/OWASP_Mumbai,,"index.md, info.md, leaders.md",,,,,Mum,OWASP Mumbai,,,,
,,,,,,,,,India,in,,,,,,col-sidebar,,"Pramod Rana, Jyoti Raval, Prasad Salvi",3,,,,,,,OWASP-Pune-Chapter,,,,,,,,,,Asia,OWASP/www-chapter-pune,,True,,https://www.linkedin.com/groups/7022347/,https://www.meetup.com/OWASP-Pune-Chapter/,https://twitter.com/OWASP_PUNE,,"index.md, info.md, leaders.md",,,,,owasp-pune,OWASP Pune,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,3,,,,,,,OWASP-Vellore-Chapter,,,,,,,,,,Asia,OWASP/www-chapter-vellore,,,https://www.facebook.com/owaspvellore,,https://www.meetup.com/OWASP-Vellore-Chapter/,,,"index.md, info.md, leaders.md",,,,,OWASP Vellore Chapter India,OWASP Vellore,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Vicky Patmase, Parimal Aglawe",0,,,,,,,OWASP-Nagpur-Chapter,,,,440001,,,,,,Asia,OWASP/www-chapter-nagpur,,True,,,,https://twitter.com/owaspnagpur,,"index.md, info.md, leaders.md",,,,,nagpur,OWASP Nagpur,,,,
,,,,,,,,https://github.com/OWASP/www-chapter-coimbatore,India,,,,,,,col-sidebar,,"Avinash R, Subash Jaganathan, Rohit Saravanan",,,,,,,,owasp-coimbatore,,,,,,,,,,Asia,OWASP/www-chapter-coimbatore,,,https://www.facebook.com/owaspcoimbatore/,https://www.linkedin.com/company/owasp-coimbatore,https://www.meetup.com/owasp-coimbatore-chapter/,,https://www.youtube.com/@owaspcbe,"index.md, info.md, leaders.md",,,,,"cbe , owaspcbe , next-tag",OWASP Coimbatore,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Deepak Kumar, Om Kumar, Kushaan Dua",1,,,,,,,OWASP-Noida-Chapter,,,,,,,,,,Asia,OWASP/www-chapter-noida,,,https://www.facebook.com/owaspnoida/,,https://www.meetup.com/OWASP-Noida-Chapter/,https://twitter.com/Noidaowasp,,"index.md, info.md, leaders.md",,,,,owasp noida,OWASP Noida,,,,
